[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-core-processenvironment-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-core-processthreads-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-core-processthreads-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-core-processthreads-l1-1-1.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-core-processthreads-l1-1-1.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-core-profile-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-core-profile-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-core-rtlsupport-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-core-rtlsupport-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-core-string-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-core-string-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-core-synch-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-core-synch-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-core-synch-l1-2-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-core-synch-l1-2-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-core-sysinfo-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-core-sysinfo-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-core-timezone-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-core-timezone-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-core-util-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-core-util-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-crt-conio-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-crt-conio-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-crt-convert-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-crt-convert-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-crt-environment-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-crt-environment-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-crt-filesystem-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-crt-filesystem-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-crt-heap-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-crt-heap-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-crt-locale-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-crt-locale-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-crt-math-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-crt-math-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-crt-multibyte-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-crt-multibyte-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-crt-private-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-crt-private-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-crt-process-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-crt-process-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-crt-runtime-l1-1-0.dll
